id,ident,type,name,latitude_deg,longitude_deg,num_hangars,runaway_length,runaway_width
6566,00TX,heliport,San Jacinto Methodist Hospital Heliport,29.73769951,-94.98020172,8,,
6567,00UT,closed,Clear Creek Ranch Airport,37.24779892,-112.8219986,2,,
6568,00VA,small_airport,Vaughan Airport,36.57600021,-78.9991684,2,1302,6
6569,00VI,small_airport,Groundhog Mountain Airport,36.66329956,-80.49949646,2,1342,7
6570,00W,small_airport,Lower Granite State Airport,46.67350006,-117.4430008,3,1260,7
6571,00WA,small_airport,Howell Airport,47.17839813,-122.7720032,3,1046,6
6572,00WI,small_airport,Northern Lite Airport,44.3042984,-89.05010223,2,1054,6
6573,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005,4,1114,7
6574,00WV,small_airport,Lazy J. Aerodrome,38.82889938,-79.8660965,3,1029,6
6575,00XS,small_airport,L P Askew Farms Airport,33.03340149,-101.9339981,2,1229,7
6576,01A,small_airport,Purkeypile Airport,62.9435997,-152.2700043,3,1412,5
6577,01AK,heliport,Providence Seward Medical Center Heliport,60.1053009,-149.4429932,3,,
6578,01AL,small_airport,Ware Island Airport,32.94599915,-86.51390076,2,1082,6
6579,01AR,heliport,Community Hospital of De Queen Heliport,34.04729843,-94.35489655,10,,
6580,01AZ,heliport,Yat Heliport,34.60810089,-111.8649979,4,,
6581,01C,small_airport,Grant Airport,43.34170151,-85.77500153,3,1127,7
6582,01CA,heliport,Lugo Substation Heliport,34.36859894,-117.3700027,7,,
6583,01CL,small_airport,Swansboro Country Airport,38.79990005,-120.7340012,4,1147,7
6584,01CN,heliport,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,11,,
6585,01CO,heliport,St Vincent General Hospital Heliport,39.24530029,-106.2460022,8,,
6586,01CT,heliport,Berlin Fairgrounds Heliport,41.62730026,-72.72750092,11,,
6587,01FA,small_airport,Rybolt Ranch Airport,28.58939934,-81.14420319,4,1281,7
6588,01FD,heliport,Florida Hospital-Altamonte Heliport,28.66640091,-81.37059784,9,,
6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258,4,1240,7
6590,01GA,heliport,Medical Center Heliport,32.47930145,-84.97910309,4,,
6591,01GE,small_airport,The Farm Airport,32.67440033,-82.77110291,4,1031,7
6592,01IA,small_airport,Stender Airport,41.66109848,-90.74130249,4,1215,5
6530,01ID,small_airport,Lava Hot Springs Airport,42.60820007,-112.0319977,4,1147,6
6593,01II,small_airport,Myers Field,39.88499832,-86.50669861,4,1281,7
6594,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,4,,
6595,01IN,heliport,Community Hospital Heliport,40.13090134,-85.69580078,11,,
6596,01IS,small_airport,William E. Koenig Airport,39.01620102,-90.31819916,2,1211,5
6597,01J,small_airport,Hilliard Airpark,30.68630028,-81.90570068,2,1284,7
6598,01K,small_airport,Caldwell Municipal Airport,37.03609848,-97.58640289,4,1245,6
6599,01KS,small_airport,Flying N Ranch Airport,38.54059982,-97.00330353,3,1071,5
6600,01KY,heliport,Lourdes Hospital Heliport,37.05170059,-88.64689636,12,,
6601,01LA,small_airport,Barham Airport,32.63899994,-91.7736969,2,1037,7
6602,01LL,small_airport,Schumaier Restricted Landing Area,38.12580109,-89.46389771,2,1112,7
6603,01LS,small_airport,Country Breeze Airport,30.70599937,-91.07740021,4,1009,6
6604,01MA,heliport,Compaq Andover Heliport,42.62509918,-71.18009949,4,,
6605,01MD,seaplane_base,Annapolis Seaplane Base,38.99919891,-76.45600128,3,,
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,46.77890015,-68.50029755,3,,
6607,01MI,heliport,Flow Through Terminal Heliport,43.04949951,-83.67970276,9,,
6608,01MN,seaplane_base,Barnes Seaplane Base,47.89960098,-92.55740356,3,,
6609,01MO,heliport,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,12,,
6610,01MT,small_airport,Crystal Lakes Resort Airport,48.78910065,-114.8799973,3,1041,6
6611,01NC,small_airport,Topsail Airpark,34.47529984,-77.58139801,4,1448,5
6612,01NE,small_airport,Detour Airport,40.84360123,-100.6529999,2,1333,5
6613,01NH,small_airport,Moore Airfield,43.64450073,-72.08699799,3,1416,7
6614,01NJ,heliport,Albert Guido Memorial Heliport,40.7417984,-74.13710022,5,,
45537,01NM,small_airport,Champion Ranch Airport,33.008611,-104.540278,4,1377,6
6615,01NV,small_airport,Lantana Ranch Airport,38.76390076,-119.0270004,3,1328,7
6616,01NY,heliport,Vassar Hospital Heliport,41.70009995,-73.94960022,4,,
6617,01OI,heliport,Galion Community Hospital Heliport,40.73059845,-82.8015976,9,,
6618,01OK,small_airport,Lawrence Airport,35.29449844,-98.6364975,2,1086,7
6619,01OR,small_airport,Red & White Flying Service Airport,43.11930084,-121.0449982,2,1045,5
6620,01PA,heliport,Pine Heliport,40.6556015,-80.05090332,4,,
6621,01PN,small_airport,Bierly(Personal Use) Airport,40.93059921,-77.73889923,2,1275,5
6622,01PS,small_airport,Nort's Resort Airport,41.59590149,-76.02960205,4,1019,5
6623,01SC,small_airport,York Airport,35.03210068,-81.25279999,4,1096,6
6624,01TA,heliport,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,7,,
6625,01TE,small_airport,Smith Field,32.73759842,-96.4280014,4,1495,7
6626,01TN,small_airport,Colonial Air Park,34.9958992,-89.73059845,2,1376,7
6627,01TS,heliport,St Joseph Hospital Heliport,32.72850037,-97.32450104,3,,
6628,01TX,small_airport,Mims Farm Ultralightport,32.38759995,-96.87750244,2,1261,7
6629,01U,small_airport,Duckwater Airport,38.85160065,-115.6340027,3,1249,7
6630,01UT,small_airport,La Sal Junction Airport,38.30830002,-109.3960037,3,1225,5
6631,01VA,small_airport,Pickles Airport,39.125,-77.92500305,2,1160,6
6632,01WA,heliport,Willapa Harbor Heliport,46.66320038,-123.8119965,9,,
6633,01WI,small_airport,Prehn Cranberry Company Airport,44.00999832,-90.3891983,4,1089,6
6634,01WN,heliport,Whidbey General Hospital Heliport,48.21340179,-122.6849976,10,,
45900,01WT,heliport,Odyssey Heliport,47.518178,-122.210908,12,,
6635,01WY,small_airport,Keyhole Airport,44.34719849,-104.810997,4,1166,6
46288,01XA,heliport,Seton Medical Center Hays Heliport,30.007222,-97.853333,4,,
6636,01XS,heliport,Meadowood Ranch Heliport,32.02019882,-95.74549866,5,,
6637,02AK,small_airport,Rustic Wilderness Airport,61.87689972,-150.0980072,4,1265,7
6638,02AL,small_airport,Bass Field,30.37150002,-87.76439667,2,1155,5
43030,02AR,small_airport,Three Rivers Airport,34.82244492,-92.44441986,4,1412,5
6640,02AZ,small_airport,Winchester Farm Airstrip,32.37639999,-109.9369965,2,1104,5
6641,02CA,heliport,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,7,,
6642,02CD,small_airport,Shannon Field,34.12960052,-90.52400208,4,1323,6
6643,02CL,small_airport,Conover Air Lodge Airport,34.76110077,-119.0589981,3,1063,7
6644,02CO,small_airport,Mc Cullough Airport,37.6432991,-106.0469971,4,1055,6
6645,02CT,heliport,Strangers Point Heliport,41.91960144,-72.44450378,9,,
6646,02FA,small_airport,Osborn Airfield,28.52669907,-81.87480164,3,1387,5
45347,02FL,small_airport,Cuchens Airport,30.642778,-86.123889,2,1462,5
6648,02GA,small_airport,Doug Bolton Field,34.20259857,-83.42900085,2,1111,5
6649,02GE,small_airport,Etowah Fields Airport,34.1753006,-84.92440033,3,1343,7
6650,02HI,heliport,K3 Helipad Heliport,21.36199951,-157.951004,10,,
6651,02IA,heliport,Boone County Hospital Heliport,42.05609894,-93.87799835,5,,
6652,02ID,small_airport,Morgan Ranch Airport,44.55550003,-115.3050003,3,1397,5
6653,02II,small_airport,King Ultralightport,40.06230164,-86.21050262,4,1220,7
6654,02IN,small_airport,Diamond P. Field,40.20890045,-85.540802,4,1448,6
6655,02IS,heliport,Condell Medical Center Heliport,42.27460098,-87.95729828,7,,
6656,02KS,small_airport,Jmj Landing Airport,39.22219849,-96.05529785,2,1215,7
6657,02KY,heliport,Boone National Guard Heliport,38.1833992,-84.89990234,10,,
6658,02LA,heliport,La State Police Troop G Heliport,32.53129959,-93.66020203,12,,
6659,02LS,heliport,Windy Hill Heliport,30.14830017,-91.91899872,5,,
6660,02MA,heliport,Cuttyhunk Heliport,41.41960144,-70.92700195,4,,
6661,02ME,small_airport,Old Acton Airfield,43.53730011,-70.92939758,2,1237,5
6662,02MI,small_airport,Fairplains Airpark,43.15710068,-85.14849854,3,1246,6
6663,02MN,small_airport,Greenbush Municipal Airport,48.68330002,-96.19200134,2,1423,5
6664,02MO,small_airport,Troy Airpark,39.04999924,-91.03350067,4,1008,7
6665,02MS,small_airport,Watts Field,34.10010147,-90.84680176,2,1166,5
6666,02MT,small_airport,Barrett Field,47.23740005,-111.7419968,4,1493,7
6667,02MU,small_airport,Timber Line Airpark,36.65420151,-93.79740143,4,1148,5
45686,02NC,heliport,Race City Heliport,35.541111,-80.597778,7,,
6668,02NE,small_airport,Benes Service Airport,41.07450104,-96.90450287,3,1379,6
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.65710068,-71.21910095,3,,
6670,02NJ,heliport,Penske Heliport,40.55730057,-74.46710205,7,,
6671,02NV,small_airport,Paiute Meadows Airport,41.30329895,-118.5979996,3,1432,5
6672,02NY,heliport,Hansen Heliport,43.13259888,-75.65550232,9,,
6673,02OH,small_airport,Zimmerman Airport,41.37639999,-83.08329773,2,1131,6
6674,02OI,small_airport,Murtha Airport,41.80199814,-80.56539917,3,1357,7
6675,02OK,heliport,Canon Heliport,35.45840073,-97.52529907,11,,
6676,02OR,small_airport,Rowena Dell Airport,45.68149948,-121.3160019,4,1087,5
6677,02P,heliport,Stottle Memorial Heliport,40.40359879,-77.55660248,4,,
6678,02PA,heliport,Lag Iii Heliport,40.43830109,-79.76999664,4,,
6679,02PN,heliport,Peco Berwyn Heliport,40.06959915,-75.4552002,9,,
6680,02PR,small_airport,Cuylers Airport,18.45330048,-66.36689758,4,1067,6
6681,02PS,small_airport,Hughes Ultralightport,41.90060043,-77.2303009,2,1416,7
6682,02SC,small_airport,Harpers Airport,32.75849915,-81.22480011,4,1115,6
6683,02T,small_airport,Wise River Airport,45.76910019,-112.9820023,3,1426,7
6684,02TA,heliport,Matagorda Shore Facility Heliport,28.72139931,-95.87380219,6,,
6685,02TE,heliport,Baylor Medical Center Heliport,32.395401,-96.86419678,4,,
6686,02TN,small_airport,Ellis Field,35.7806015,-86.584198,2,1276,5
6687,02TS,heliport,Fwomc Heliport,32.74760056,-97.37000275,6,,
6688,02TX,small_airport,The Palms At Kitty Hawk Airport,33.37040329,-101.9228821,2,1254,7
6689,02UT,small_airport,Lucin Airport,41.36629868,-113.8430023,4,1393,6
6690,02VA,small_airport,The Greenhouse Airport,38.43569946,-77.85720062,3,1105,6
6691,02VG,heliport,Northstar Aviation Heliport,36.63880157,-82.11669922,3,,
6692,02WA,small_airport,Cawleys South Prairie Airport,47.15230179,-122.0940018,2,1394,5
6693,02WI,small_airport,Beer Airport,45.0318985,-92.65579987,3,1328,7
6694,02WN,small_airport,Fowler Field,48.74580002,-119.3190002,4,1098,6
6695,02XS,small_airport,Seidel Ranch Airport,30.14769936,-97.66280365,3,1162,5
6696,03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244,-151.132782,3,,
6697,03AL,heliport,Jackson County Hospital Heliport,34.66249847,-86.04720306,9,,
6698,03AR,heliport,Hscmh Heliport,34.35760117,-92.78849792,11,,
6699,03AZ,small_airport,Thompson International Aviation Airport,31.4333992,-110.0839996,2,1392,7
6700,03CA,heliport,Grossmont Hospital Heliport,32.77980042,-117.0059967,12,,
6701,03CO,small_airport,Kugel-Strong Airport,40.21250153,-104.7440033,2,1237,6
6702,03FA,small_airport,Lake Persimmon Airstrip,27.35309982,-81.40809631,4,1343,5
6703,03FD,small_airport,Tharpe Airport,30.8288002,-85.73100281,2,1185,5
6704,03FL,heliport,Ranger Heliport,26.68370056,-80.18730164,6,,
6705,03I,small_airport,Clarks Dream Strip,39.64419937,-83.01820374,2,1108,6
6706,03IA,small_airport,East Field,41.58190155,-92.46130371,2,1199,6
6707,03ID,small_airport,Flying Y Ranch Airport,44.79430008,-116.5329971,4,1462,6
6708,03II,small_airport,Davis Field Ultralightport,37.9620018,-87.77890015,4,1487,7
6709,03IL,small_airport,Wix Airport,41.40230179,-87.8167038,4,1109,5
6710,03IN,small_airport,Heinzman Airport,40.18000031,-86.01249695,2,1483,6
6711,03IS,heliport,St Anthony's Hospital Heliport,38.90499878,-90.17340088,12,,
6712,03KS,heliport,Valley Grain Heliport,39.86470032,-95.26409912,5,,
6713,03KY,small_airport,Flying H Farms Airport,37.79169846,-87.54139709,3,1401,6
6714,03LA,heliport,Damien Heliport,30.19960022,-91.12789917,11,,
6715,03LS,heliport,Fmc Nr 1 Heliport,32.1590004,-91.70800018,5,,
6716,03M,seaplane_base,Lakeside Marina Seaplane Base,44.32089996,-69.88950348,3,,
6717,03MA,small_airport,Hadley Airport,42.39310074,-72.55200195,4,1293,7
6718,03MD,heliport,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,4,,
6719,03ME,small_airport,Maple Ridge Airport,44.08420181,-70.62729645,3,1138,7
6720,03MI,heliport,Harold Miller Heliport,43.55089951,-83.86219788,7,,
6721,03MN,small_airport,Nauerth Land Ranch Airport,43.62519836,-95.22470093,4,1293,6
6722,03MO,small_airport,Cahoochie Airport,37.8844986,-93.13159943,2,1420,5
6723,03MS,heliport,Vicksburg Medical Center Heliport,32.31880188,-90.8832016,9,,
6724,03MT,small_airport,Cascade Airport,47.27080154,-111.7220001,2,1500,7
6725,03MU,small_airport,Mc Donnell Airport,38.49250031,-94.41249847,2,1152,6
4650,03N,small_airport,Utirik Airport,11.22200012,169.852005,4,1456,7
6726,03NC,small_airport,Pilots Ridge Airport,34.10430145,-77.90419769,3,1175,6
6727,03ND,small_airport,Olafson Brothers Airport,48.62639999,-97.82900238,4,1385,5
6728,03NE,small_airport,Hyde Ranch Airport,41.54639816,-99.33119965,3,1099,6
6729,03NH,heliport,Lorden Heliport,42.81539917,-71.12439728,5,,
6730,03NJ,heliport,At&T Heliport,40.66870117,-74.41069794,7,,
6731,03NV,small_airport,Llama Ranch Airport,40.58440018,-115.2979965,4,1384,6
6732,03NY,small_airport,Talmage Field,40.95840073,-72.71679688,4,1053,7
6733,03OH,small_airport,Gibbs Field,41.41839981,-83.01740265,3,1356,6
6734,03OI,heliport,Marymount Hospital Heliport,41.42089844,-81.59980011,6,,
6735,03OK,small_airport,Sahoma Lake Airport,36.04119873,-96.16139984,4,1364,5
6736,03OR,small_airport,Powwatka Ridge Airport,45.85540009,-117.4840012,3,1252,6
6737,03PA,heliport,Collegeville Heliport,40.16289902,-75.46569824,5,,
6738,03PN,heliport,M.P. Metals Heliport,41.066861,-76.180806,7,,
6739,03PS,small_airport,Ziggy's Field,40.84999847,-77.9056015,3,1270,7
6740,03S,small_airport,Sandy River Airport,45.40179825,-122.2289963,4,1340,5
6741,03SC,heliport,Seacoast Medical Center Heliport,33.86500168,-78.66190338,3,,
6742,03TA,small_airport,Gay Hill Farm Airport,30.26269913,-96.50019836,4,1318,7
6743,03TE,small_airport,Barronena Ranch Airport,27.49110031,-98.66950226,2,1209,6
6744,03TN,heliport,Eagles Landing Heliport,35.92250061,-83.57939911,8,,
6745,03TS,heliport,Shannon Medical Center Heliport,31.4598999,-100.4380035,5,,
6746,03TX,heliport,M D K Field,29.58160019,-95.30719757,9,,
6747,03UT,small_airport,A Z Minerals Corporation Airport,37.12080002,-109.9860001,4,1168,7
6748,03VA,closed,Whipoorwill Springs Airport,38.66460037,-77.57969666,2,,
6749,03WA,small_airport,Spangle Field,47.40819931,-117.3720016,2,1361,7
6750,03WI,small_airport,Zink Airport,44.02750015,-88.88089752,3,1120,5
6751,03WN,small_airport,Aerostone Ranch Airport,45.875,-120.6699982,2,1365,7
6752,03XS,small_airport,Creekside Airport,31.31809998,-100.7539978,2,1262,5
6753,04AL,heliport,Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,9,,
6754,04AR,heliport,Saline Memorial Hospital Heliport,34.57400131,-92.582901,11,,
6755,04AZ,small_airport,Chinle Airport,36.15420151,-109.5510025,4,1384,7
6756,04CA,small_airport,Gray Butte Field,34.56389999,-117.6750031,4,1237,6
6757,04CL,small_airport,Hunt's Sky Ranch Airport,33.08169937,-116.4410019,3,1008,5
6758,04CT,heliport,Shingle Mill Heliport,41.75510025,-73.05239868,5,,
6759,04F,small_airport,De Leon Municipal Airport,32.09880066,-98.52529907,3,1122,7
6760,04FA,small_airport,Richards Field,25.55870056,-80.51509857,3,1443,7
6761,04FL,small_airport,Cross Creek Farms Airport,29.23940086,-81.22200012,4,1246,7
6762,04I,small_airport,Columbus Southwest Airport,39.91120148,-83.188797,4,1137,7
6763,04IA,small_airport,Middlekoop Airport,41.0882988,-92.05460358,3,1020,5
6764,04ID,small_airport,Lanham Field,43.87770081,-116.5370026,2,1100,5
6765,04II,small_airport,Turkey Run Airport,41.13059998,-84.99410248,4,1429,5
6766,04IL,small_airport,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,2,1230,5
45410,04IN,seaplane_base,Lake Gage Seaplane Base,41.701389,-85.113056,3,,
6767,04IS,small_airport,Van Gorder Airport,40.17860031,-88.56900024,2,1317,5
6768,04KS,heliport,Robinson Industries Heliport,38.97890091,-95.21970367,10,,
6769,04KY,small_airport,Natchez Trace Farm Airport,37.13510132,-85.78939819,3,1049,7
6770,04LA,heliport,St James Heliport,30.051111,-90.702222,6,,
6771,04LL,small_airport,Brunner Airport,42.13610077,-88.28759766,3,1117,5
6772,04LS,heliport,La National Guard Heliport,30.44610023,-91.1053009,4,,
6773,04MA,small_airport,Goddard Airport,42.80979919,-71.1391983,4,1362,7
6774,04MD,heliport,Chesapeake City Heliport,39.51810074,-75.8214035,4,,
6775,04ME,small_airport,Beech Hill Airport,44.66669846,-69.89389801,2,1242,6
6776,04MI,small_airport,Rapids Airway Airport,42.53450012,-84.62830353,3,1474,5
6777,04MN,small_airport,Helblad Airport,47.9858017,-94.68689728,4,1360,5
6778,04MO,small_airport,Airpark Private Airport,39.30120087,-91.45149994,3,1087,5
6779,04MS,small_airport,Nick's Flying Service Inc Airport,32.9396019,-90.83730316,4,1094,6
6780,04MT,small_airport,Pluhar Airport,47.13749778,-106.488095,4,1010,6
6781,04NC,heliport,Western Wake Medical Center Heliport,35.73920059,-78.78220367,7,,
6782,04NE,small_airport,Mc Connell Field Airport,41.15999985,-101.2990036,2,1042,6
6783,04NJ,small_airport,Emmanuel Airport,39.59680176,-75.23349762,2,1254,5
6784,04NV,small_airport,Kingston Ranch Airport,35.75550079,-115.6650009,3,1242,5
6785,04NY,small_airport,Klaverack Airport,42.26229858,-73.69619751,3,1220,5
45733,04OG,heliport,Teufel Heliport,45.530833,-123.085556,7,,
6786,04OH,small_airport,Bossow Airport,41.24769974,-81.10070038,3,1282,5
6787,04OK,heliport,Stillwater Medical Center Heliport,36.11529922,-97.07949829,9,,
6788,04OR,small_airport,Collins Landing Strip,44.74990082,-120.2009964,3,1019,7
6789,04PA,heliport,S & C Distribution Center Heliport,39.87929916,-75.22879791,12,,
6790,04PN,heliport,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,12,,
6791,04SC,heliport,Emergency Helipad,34.84059906,-82.60690308,7,,
6792,04TA,heliport,Capitol National Bank Building Heliport,30.27104167,-97.74469757,5,,
6793,04TE,heliport,Veterans Affairs Medical Center Heliport,29.70019913,-95.38739777,5,,
6794,04TN,small_airport,Hensley Airpark,36.18330002,-82.67890167,3,1278,6
6795,04TS,heliport,Hummingbird Heliport,30.55349922,-97.60610199,6,,
6796,04TX,small_airport,Pocock Airport,31.73220062,-97.36889648,3,1443,7
6797,04UT,small_airport,Navajo Mountain Airport,37.00830078,-110.7949982,2,1064,7
6798,04V,small_airport,Saguache Municipal Airport,38.0990833,-106.1743889,2,1271,7
6799,04VA,heliport,Russell County Medical Center Heliport,36.898,-82.078,6,,
6800,04VG,small_airport,Manquin Flight Park Ultralightport,37.71440125,-77.21179962,4,1347,7
6801,04VT,small_airport,Lightning Bolt Field Airport,44.40110016,-72.26360321,2,1492,5
6802,04W,small_airport,Field of Dreams Airport,46.02280045,-92.895401,4,1274,5
6803,04WA,small_airport,Ox Meadows Airport,47.58179855,-117.4369965,3,1029,7
6804,04WI,small_airport,Dutch Gap Airstrip,42.52339935,-88.01670074,3,1240,7
45903,04WN,small_airport,Stillwater Creek Airport,46.963889,-119.641667,3,1418,5
6805,04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111,6,,
6806,04XS,heliport,Napiers Heliport,32.58209991,-97.14250183,11,,
6807,05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,2,1315,7
6808,05AL,heliport,Allen Stagefield Army Heliport,31.23119926,-85.64969635,6,,
45302,05AR,small_airport,Ozark Skies Airpark,36.000633,-93.57025,3,1182,7
6809,05AZ,heliport,Yuma Regional Medical Center Heliport,32.68280029,-114.6340027,8,,
6810,05B,seaplane_base,Van Buren Seaplane Base,47.15890121,-67.93199921,3,,
6811,05CA,heliport,Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969,4,,
6812,05CL,small_airport,Pope Valley Airport,38.6106987,-122.3909988,4,1268,7
6813,05CO,small_airport,Rancho De Aereo Airport,40.2149839,-104.9844228,2,1456,7
6814,05CT,heliport,O And G Heliport,41.77370071,-73.11620331,11,,
6815,05FA,small_airport,Melanie's Airport,30.91889954,-86.21829987,3,1238,6
6816,05FD,heliport,Aventura Heliport,25.96089935,-80.1391983,6,,
6817,05FL,small_airport,Charlton Strip,26.5230999,-81.40830231,4,1094,7
6818,05GA,small_airport,Raju Airport,32.07139969,-84.71440125,2,1119,7
6819,05IA,small_airport,Spotts Field,43.13750076,-93.06829834,3,1142,5
6820,05ID,small_airport,Running Creek Ranch Airport,45.91410065,-114.8359985,4,1212,7
6821,05II,small_airport,Reichhart Airport,41.02870178,-84.99720001,2,1181,5
6822,05IL,small_airport,Classic Landings Airport,41.15670013,-88.01670074,3,1264,5
6823,05IN,small_airport,Cooper Airport,39.64199829,-86.5042038,2,1016,7
6824,05IS,small_airport,Hardy Airport,39.72589874,-89.26399994,4,1284,5
6825,05KS,small_airport,Darbro Field,37.26620102,-95.959198,4,1073,6
6826,05KY,small_airport,Cartersville Airport,37.53689957,-84.40720367,3,1266,7
6827,05LA,small_airport,Greg's Flying Service Airport,32.26530075,-91.69779968,3,1329,7
6828,05LL,heliport,Midwest Heliport,41.74890137,-87.93509674,4,,
6829,05LS,small_airport,Grass Roots Airport,31.25219917,-92.47579956,2,1049,6
6830,05M,heliport,Pauls Valley General Hospital Heliport,34.71969986,-97.21399689,10,,
6831,05MA,heliport,Bentley Heliport,42.69120026,-70.91230011,6,,
6832,05MD,small_airport,Breezecroft Airport,39.25009918,-76.2052002,2,1195,5
6833,05ME,small_airport,Drisko Airport,44.6570015,-67.55919647,3,1325,5
6834,05MO,heliport,Portageville Community Heliport,36.42979813,-89.68009949,12,,
6835,05MS,heliport,Va Medical Center Jackson Heliport,32.31890106,-90.16809845,5,,
6836,05NC,heliport,Brunswick Community Hospital Heliport,34.0080986,-78.29109955,11,,
6837,05NE,small_airport,Mc Kay Airport,41.72219849,-98.30899811,3,1158,5
6838,05NH,heliport,Stumpfield Heliport,42.9239006,-70.95140076,9,,
6839,05NJ,heliport,Paulus Hook Pier Heliport,40.7140007,-74.03150177,6,,
6840,05NY,heliport,Oswego County At Pulaski Heliport,43.55199814,-76.09020233,7,,
6841,05OI,small_airport,Dorlon Airpark,41.28839874,-81.96260071,2,1052,7
6842,05OK,small_airport,Hawk Haven Airport,35.85340118,-97.56749725,2,1188,6
6843,05OR,small_airport,Peacock Ranch Airport,45.44150162,-117.3509979,4,1285,5
